Treebank,Encoding,Language Model,Finetuned,Pretrained,UAS,LAS,CLAS,MLAS,BLEX,
UD_Ligurian-GLT,2-planar-brackets-greedy,bert-base-multilingual-cased,finetuned,pretrained,34.74,28.36,11.43,1.71,0.0,
UD_Ligurian-GLT,2-planar-brackets-greedy,bert-base-multilingual-cased,not_finetuned,pretrained,11.18,7.15,3.6,0.87,0.0,
UD_Ligurian-GLT,2-planar-brackets-greedy,bert-base-multilingual-cased,not_finetuned,not_pretrained,8.49,2.93,5.08,0.85,0.0,
UD_Ligurian-GLT,rel-pos,bert-base-multilingual-cased,finetuned,pretrained,60.03,46.45,31.93,6.15,0.0,
UD_Ligurian-GLT,rel-pos,bert-base-multilingual-cased,not_finetuned,pretrained,40.5,31.67,17.09,5.89,0.0,
UD_Ligurian-GLT,rel-pos,bert-base-multilingual-cased,not_finetuned,not_pretrained,30.52,22.41,11.3,5.45,0.0,
UD_Ligurian-GLT,arc-hybrid,bert-base-multilingual-cased,finetuned,pretrained,25.86,18.09,4.07,0.09,0.0,
UD_Ligurian-GLT,arc-hybrid,bert-base-multilingual-cased,not_finetuned,pretrained,30.81,21.69,7.88,1.04,0.0,
UD_Ligurian-GLT,arc-hybrid,bert-base-multilingual-cased,not_finetuned,not_pretrained,18.62,12.14,3.17,0.23,0.0,
UD_Ligurian-GLT,2-planar-brackets-greedy,xlm-roberta-base,finetuned,pretrained,30.09,24.66,7.52,0.5,0.0,
UD_Ligurian-GLT,2-planar-brackets-greedy,xlm-roberta-base,not_finetuned,pretrained,6.0,1.63,1.64,0.14,0.0,
UD_Ligurian-GLT,2-planar-brackets-greedy,xlm-roberta-base,not_finetuned,not_pretrained,9.21,3.84,5.59,1.36,0.0,
UD_Ligurian-GLT,rel-pos,xlm-roberta-base,finetuned,pretrained,56.86,40.4,22.79,3.46,0.0,
UD_Ligurian-GLT,rel-pos,xlm-roberta-base,not_finetuned,pretrained,21.45,12.19,4.57,2.36,0.0,
UD_Ligurian-GLT,rel-pos,xlm-roberta-base,not_finetuned,not_pretrained,28.26,21.31,10.43,5.63,0.0,
UD_Ligurian-GLT,arc-hybrid,xlm-roberta-base,finetuned,pretrained,21.98,14.25,2.88,0.0,0.0,
UD_Ligurian-GLT,arc-hybrid,xlm-roberta-base,not_finetuned,pretrained,14.16,9.84,2.22,0.39,0.0,
UD_Ligurian-GLT,arc-hybrid,xlm-roberta-base,not_finetuned,not_pretrained,22.74,14.59,4.48,0.45,0.0,
UD_Ligurian-GLT,2-planar-brackets-greedy,google/canine-c,finetuned,pretrained,2.16,0.48,1.64,0.0,0.0,
UD_Ligurian-GLT,2-planar-brackets-greedy,google/canine-c,not_finetuned,pretrained,10.22,3.6,2.31,0.12,0.0,
UD_Ligurian-GLT,2-planar-brackets-greedy,google/canine-c,not_finetuned,not_pretrained,8.93,4.37,5.45,0.43,0.0,
UD_Ligurian-GLT,rel-pos,google/canine-c,finetuned,pretrained,23.75,10.89,1.64,0.0,0.0,
UD_Ligurian-GLT,rel-pos,google/canine-c,not_finetuned,pretrained,27.88,14.44,6.04,0.83,0.0,
UD_Ligurian-GLT,rel-pos,google/canine-c,not_finetuned,not_pretrained,28.26,17.42,7.45,1.61,0.0,
UD_Ligurian-GLT,arc-hybrid,google/canine-c,finetuned,pretrained,2.4,0.58,1.64,0.0,0.0,
UD_Ligurian-GLT,arc-hybrid,google/canine-c,not_finetuned,pretrained,19.29,8.16,0.92,0.12,0.0,
UD_Ligurian-GLT,arc-hybrid,google/canine-c,not_finetuned,not_pretrained,21.4,12.81,4.48,0.94,0.0,
UD_Bhojpuri-BHTB,2-planar-brackets-greedy,bert-base-multilingual-cased,finetuned,pretrained,31.15,24.92,9.35,0.66,0.0,
UD_Bhojpuri-BHTB,2-planar-brackets-greedy,bert-base-multilingual-cased,not_finetuned,pretrained,19.28,17.04,1.53,0.4,0.0,
UD_Bhojpuri-BHTB,2-planar-brackets-greedy,bert-base-multilingual-cased,not_finetuned,not_pretrained,18.1,14.38,3.26,0.54,0.0,
UD_Bhojpuri-BHTB,rel-pos,bert-base-multilingual-cased,finetuned,pretrained,48.78,37.27,26.31,1.94,0.0,
UD_Bhojpuri-BHTB,rel-pos,bert-base-multilingual-cased,not_finetuned,pretrained,42.23,30.72,19.42,2.47,0.0,
UD_Bhojpuri-BHTB,rel-pos,bert-base-multilingual-cased,not_finetuned,not_pretrained,35.73,24.87,14.66,2.12,0.0,
UD_Bhojpuri-BHTB,arc-hybrid,bert-base-multilingual-cased,finetuned,pretrained,34.61,26.25,9.57,1.12,0.0,
UD_Bhojpuri-BHTB,arc-hybrid,bert-base-multilingual-cased,not_finetuned,pretrained,34.82,25.99,9.42,1.13,0.0,
UD_Bhojpuri-BHTB,arc-hybrid,bert-base-multilingual-cased,not_finetuned,not_pretrained,23.38,17.31,4.67,0.55,0.0,
UD_Bhojpuri-BHTB,2-planar-brackets-greedy,xlm-roberta-base,finetuned,pretrained,16.24,14.96,0.38,0.08,0.0,
UD_Bhojpuri-BHTB,2-planar-brackets-greedy,xlm-roberta-base,not_finetuned,pretrained,12.89,11.77,0.36,0.07,0.0,
UD_Bhojpuri-BHTB,2-planar-brackets-greedy,xlm-roberta-base,not_finetuned,not_pretrained,15.55,13.15,1.49,0.16,0.0,
UD_Bhojpuri-BHTB,rel-pos,xlm-roberta-base,finetuned,pretrained,46.7,29.34,21.87,1.91,0.0,
UD_Bhojpuri-BHTB,rel-pos,xlm-roberta-base,not_finetuned,pretrained,27.05,19.7,10.76,0.67,0.0,
UD_Bhojpuri-BHTB,rel-pos,xlm-roberta-base,not_finetuned,not_pretrained,36.63,24.55,13.14,1.84,0.0,
UD_Bhojpuri-BHTB,arc-hybrid,xlm-roberta-base,finetuned,pretrained,30.46,23.22,6.89,0.4,0.0,
UD_Bhojpuri-BHTB,arc-hybrid,xlm-roberta-base,not_finetuned,pretrained,23.59,18.64,5.34,0.08,0.0,
UD_Bhojpuri-BHTB,arc-hybrid,xlm-roberta-base,not_finetuned,not_pretrained,22.52,17.52,4.58,0.47,0.0,
UD_Bhojpuri-BHTB,2-planar-brackets-greedy,google/canine-c,finetuned,pretrained,9.27,7.4,0.14,0.07,0.0,
UD_Bhojpuri-BHTB,2-planar-brackets-greedy,google/canine-c,not_finetuned,pretrained,12.94,9.11,0.34,0.09,0.0,
UD_Bhojpuri-BHTB,2-planar-brackets-greedy,google/canine-c,not_finetuned,not_pretrained,17.09,13.26,1.16,0.08,0.0,
UD_Bhojpuri-BHTB,rel-pos,google/canine-c,finetuned,pretrained,11.45,8.79,0.44,0.0,0.0,
UD_Bhojpuri-BHTB,rel-pos,google/canine-c,not_finetuned,pretrained,20.82,14.54,6.5,0.31,0.0,
UD_Bhojpuri-BHTB,rel-pos,google/canine-c,not_finetuned,not_pretrained,33.39,22.79,12.56,1.17,0.0,
UD_Bhojpuri-BHTB,arc-hybrid,google/canine-c,finetuned,pretrained,6.02,1.97,0.14,0.0,0.0,
UD_Bhojpuri-BHTB,arc-hybrid,google/canine-c,not_finetuned,pretrained,7.67,4.79,0.28,0.07,0.0,
UD_Bhojpuri-BHTB,arc-hybrid,google/canine-c,not_finetuned,not_pretrained,23.48,16.88,5.26,0.24,0.0,
UD_Kiche-IU,2-planar-brackets-greedy,bert-base-multilingual-cased,finetuned,pretrained,78.5,69.18,61.64,24.84,0.0,
UD_Kiche-IU,2-planar-brackets-greedy,bert-base-multilingual-cased,not_finetuned,pretrained,64.07,51.01,42.3,15.02,0.0,
UD_Kiche-IU,2-planar-brackets-greedy,bert-base-multilingual-cased,not_finetuned,not_pretrained,59.29,45.16,35.52,12.13,0.0,
UD_Kiche-IU,rel-pos,bert-base-multilingual-cased,finetuned,pretrained,82.92,74.51,67.38,27.92,0.0,
UD_Kiche-IU,rel-pos,bert-base-multilingual-cased,not_finetuned,pretrained,66.98,55.53,44.33,17.46,0.0,
UD_Kiche-IU,rel-pos,bert-base-multilingual-cased,not_finetuned,not_pretrained,64.01,51.21,40.05,16.2,0.0,
UD_Kiche-IU,arc-hybrid,bert-base-multilingual-cased,finetuned,pretrained,74.41,64.56,57.86,23.62,0.0,
UD_Kiche-IU,arc-hybrid,bert-base-multilingual-cased,not_finetuned,pretrained,61.09,49.08,40.94,16.98,0.0,
UD_Kiche-IU,arc-hybrid,bert-base-multilingual-cased,not_finetuned,not_pretrained,55.86,43.0,34.26,14.38,0.0,
UD_Kiche-IU,2-planar-brackets-greedy,xlm-roberta-base,finetuned,pretrained,73.46,61.78,51.82,20.43,0.0,
UD_Kiche-IU,2-planar-brackets-greedy,xlm-roberta-base,not_finetuned,pretrained,48.49,33.38,24.68,7.69,0.0,
UD_Kiche-IU,2-planar-brackets-greedy,xlm-roberta-base,not_finetuned,not_pretrained,54.61,41.59,32.94,10.54,0.0,
UD_Kiche-IU,rel-pos,xlm-roberta-base,finetuned,pretrained,79.42,70.09,60.71,24.54,0.0,
UD_Kiche-IU,rel-pos,xlm-roberta-base,not_finetuned,pretrained,53.14,40.67,26.07,10.0,0.0,
UD_Kiche-IU,rel-pos,xlm-roberta-base,not_finetuned,not_pretrained,60.96,48.76,37.25,14.78,0.0,
UD_Kiche-IU,arc-hybrid,xlm-roberta-base,finetuned,pretrained,69.8,56.9,49.34,20.69,0.0,
UD_Kiche-IU,arc-hybrid,xlm-roberta-base,not_finetuned,pretrained,45.03,31.45,22.8,9.54,0.0,
UD_Kiche-IU,arc-hybrid,xlm-roberta-base,not_finetuned,not_pretrained,53.93,41.23,32.83,13.2,0.0,
UD_Kiche-IU,2-planar-brackets-greedy,google/canine-c,finetuned,pretrained,43.1,22.77,18.51,1.57,0.0,
UD_Kiche-IU,2-planar-brackets-greedy,google/canine-c,not_finetuned,pretrained,44.8,25.69,22.39,3.88,0.0,
UD_Kiche-IU,2-planar-brackets-greedy,google/canine-c,not_finetuned,not_pretrained,61.85,47.41,40.58,13.56,0.0,
UD_Kiche-IU,rel-pos,google/canine-c,finetuned,pretrained,47.61,31.87,25.19,4.88,0.0,
UD_Kiche-IU,rel-pos,google/canine-c,not_finetuned,pretrained,43.91,31.18,26.98,4.27,0.0,
UD_Kiche-IU,rel-pos,google/canine-c,not_finetuned,not_pretrained,62.4,50.29,41.62,14.51,0.0,
UD_Kiche-IU,arc-hybrid,google/canine-c,finetuned,pretrained,42.8,31.58,22.44,5.32,0.0,
UD_Kiche-IU,arc-hybrid,google/canine-c,not_finetuned,pretrained,34.82,24.28,18.79,4.53,0.0,
UD_Kiche-IU,arc-hybrid,google/canine-c,not_finetuned,not_pretrained,55.4,43.16,35.65,13.12,0.0,
UD_Guajajara-TuDeT,2-planar-brackets-greedy,bert-base-multilingual-cased,finetuned,pretrained,60.67,46.55,37.92,14.25,0.0,
UD_Guajajara-TuDeT,2-planar-brackets-greedy,bert-base-multilingual-cased,not_finetuned,pretrained,49.75,30.92,22.61,6.46,0.0,
UD_Guajajara-TuDeT,2-planar-brackets-greedy,bert-base-multilingual-cased,not_finetuned,not_pretrained,48.24,31.76,27.42,7.8,0.0,
UD_Guajajara-TuDeT,rel-pos,bert-base-multilingual-cased,finetuned,pretrained,61.34,48.91,42.31,17.07,0.0,
UD_Guajajara-TuDeT,rel-pos,bert-base-multilingual-cased,not_finetuned,pretrained,53.61,33.45,23.35,5.54,0.0,
UD_Guajajara-TuDeT,rel-pos,bert-base-multilingual-cased,not_finetuned,not_pretrained,54.62,38.66,33.01,11.17,0.0,
UD_Guajajara-TuDeT,arc-hybrid,bert-base-multilingual-cased,finetuned,pretrained,42.18,24.71,22.75,5.23,0.0,
UD_Guajajara-TuDeT,arc-hybrid,bert-base-multilingual-cased,not_finetuned,pretrained,45.04,26.39,24.41,7.98,0.0,
UD_Guajajara-TuDeT,arc-hybrid,bert-base-multilingual-cased,not_finetuned,not_pretrained,43.36,26.39,24.27,6.77,0.0,
UD_Guajajara-TuDeT,2-planar-brackets-greedy,xlm-roberta-base,finetuned,pretrained,54.45,38.99,31.03,10.34,0.0,
UD_Guajajara-TuDeT,2-planar-brackets-greedy,xlm-roberta-base,not_finetuned,pretrained,42.52,18.99,18.41,5.5,0.0,
UD_Guajajara-TuDeT,2-planar-brackets-greedy,xlm-roberta-base,not_finetuned,not_pretrained,52.44,35.29,28.32,10.11,0.0,
UD_Guajajara-TuDeT,rel-pos,xlm-roberta-base,finetuned,pretrained,56.97,40.84,32.21,10.58,0.0,
UD_Guajajara-TuDeT,rel-pos,xlm-roberta-base,not_finetuned,pretrained,56.47,30.76,24.2,3.5,0.0,
UD_Guajajara-TuDeT,rel-pos,xlm-roberta-base,not_finetuned,not_pretrained,55.97,37.14,29.88,8.15,0.0,
UD_Guajajara-TuDeT,arc-hybrid,xlm-roberta-base,finetuned,pretrained,36.81,18.32,16.65,3.28,0.0,
UD_Guajajara-TuDeT,arc-hybrid,xlm-roberta-base,not_finetuned,pretrained,46.72,12.1,9.01,0.0,0.0,
UD_Guajajara-TuDeT,arc-hybrid,xlm-roberta-base,not_finetuned,not_pretrained,44.54,26.39,25.54,7.64,0.0,
UD_Guajajara-TuDeT,2-planar-brackets-greedy,google/canine-c,finetuned,pretrained,42.69,16.64,20.68,2.78,0.0,
UD_Guajajara-TuDeT,2-planar-brackets-greedy,google/canine-c,not_finetuned,pretrained,45.55,22.18,22.31,4.87,0.0,
UD_Guajajara-TuDeT,2-planar-brackets-greedy,google/canine-c,not_finetuned,not_pretrained,48.74,29.24,25.75,6.85,0.0,
UD_Guajajara-TuDeT,rel-pos,google/canine-c,finetuned,pretrained,41.85,8.74,10.27,1.38,0.0,
UD_Guajajara-TuDeT,rel-pos,google/canine-c,not_finetuned,pretrained,52.61,26.39,24.36,5.6,0.0,
UD_Guajajara-TuDeT,rel-pos,google/canine-c,not_finetuned,not_pretrained,54.29,32.61,24.46,5.1,0.0,
UD_Guajajara-TuDeT,arc-hybrid,google/canine-c,finetuned,pretrained,42.18,8.91,18.56,2.45,0.0,
UD_Guajajara-TuDeT,arc-hybrid,google/canine-c,not_finetuned,pretrained,40.0,15.29,17.27,2.99,0.0,
UD_Guajajara-TuDeT,arc-hybrid,google/canine-c,not_finetuned,not_pretrained,41.18,24.03,23.84,8.82,0.0,
UD_Skolt_Sami-Giellagas,2-planar-brackets-greedy,bert-base-multilingual-cased,finetuned,pretrained,29.55,14.57,10.69,0.0,0.0,
UD_Skolt_Sami-Giellagas,2-planar-brackets-greedy,bert-base-multilingual-cased,not_finetuned,pretrained,19.7,9.18,5.84,0.0,0.0,
UD_Skolt_Sami-Giellagas,2-planar-brackets-greedy,bert-base-multilingual-cased,not_finetuned,not_pretrained,24.16,11.47,9.13,0.47,0.0,
UD_Skolt_Sami-Giellagas,rel-pos,bert-base-multilingual-cased,finetuned,pretrained,42.51,29.42,18.34,0.0,0.0,
UD_Skolt_Sami-Giellagas,rel-pos,bert-base-multilingual-cased,not_finetuned,pretrained,42.38,26.05,16.2,1.47,0.0,
UD_Skolt_Sami-Giellagas,rel-pos,bert-base-multilingual-cased,not_finetuned,not_pretrained,33.47,22.81,11.86,1.32,0.0,
UD_Skolt_Sami-Giellagas,arc-hybrid,bert-base-multilingual-cased,finetuned,pretrained,8.77,4.18,3.83,0.0,0.0,
UD_Skolt_Sami-Giellagas,arc-hybrid,bert-base-multilingual-cased,not_finetuned,pretrained,14.3,8.37,6.22,0.44,0.0,
UD_Skolt_Sami-Giellagas,arc-hybrid,bert-base-multilingual-cased,not_finetuned,not_pretrained,16.33,7.96,8.42,0.46,0.0,
UD_Skolt_Sami-Giellagas,2-planar-brackets-greedy,xlm-roberta-base,finetuned,pretrained,27.26,11.2,8.82,0.82,0.0,
UD_Skolt_Sami-Giellagas,2-planar-brackets-greedy,xlm-roberta-base,not_finetuned,pretrained,24.83,6.88,5.37,1.65,0.0,
UD_Skolt_Sami-Giellagas,2-planar-brackets-greedy,xlm-roberta-base,not_finetuned,not_pretrained,25.51,14.17,14.73,2.17,0.0,
UD_Skolt_Sami-Giellagas,rel-pos,xlm-roberta-base,finetuned,pretrained,40.49,28.74,16.9,2.14,0.0,
UD_Skolt_Sami-Giellagas,rel-pos,xlm-roberta-base,not_finetuned,pretrained,36.71,14.84,9.61,3.09,0.0,
UD_Skolt_Sami-Giellagas,rel-pos,xlm-roberta-base,not_finetuned,not_pretrained,41.7,25.51,18.41,3.14,0.0,
UD_Skolt_Sami-Giellagas,arc-hybrid,xlm-roberta-base,finetuned,pretrained,5.94,2.83,1.58,0.0,0.0,
UD_Skolt_Sami-Giellagas,arc-hybrid,xlm-roberta-base,not_finetuned,pretrained,7.15,2.97,1.65,0.0,0.0,
UD_Skolt_Sami-Giellagas,arc-hybrid,xlm-roberta-base,not_finetuned,not_pretrained,12.01,6.48,5.99,0.67,0.0,
UD_Skolt_Sami-Giellagas,2-planar-brackets-greedy,google/canine-c,finetuned,pretrained,5.26,2.56,4.02,0.0,0.0,
UD_Skolt_Sami-Giellagas,2-planar-brackets-greedy,google/canine-c,not_finetuned,pretrained,22.81,7.15,6.1,0.22,0.0,
UD_Skolt_Sami-Giellagas,2-planar-brackets-greedy,google/canine-c,not_finetuned,not_pretrained,17.14,7.56,6.98,0.54,0.0,
UD_Skolt_Sami-Giellagas,rel-pos,google/canine-c,finetuned,pretrained,36.03,9.85,4.21,0.0,0.0,
UD_Skolt_Sami-Giellagas,rel-pos,google/canine-c,not_finetuned,pretrained,34.28,12.15,9.35,1.56,0.0,
UD_Skolt_Sami-Giellagas,rel-pos,google/canine-c,not_finetuned,not_pretrained,36.71,19.57,14.11,2.46,0.0,
UD_Skolt_Sami-Giellagas,arc-hybrid,google/canine-c,finetuned,pretrained,5.94,1.21,0.0,0.0,0.0,
UD_Skolt_Sami-Giellagas,arc-hybrid,google/canine-c,not_finetuned,pretrained,15.38,5.13,5.34,0.0,0.0,
UD_Skolt_Sami-Giellagas,arc-hybrid,google/canine-c,not_finetuned,not_pretrained,16.06,9.04,10.1,1.48,0.0,
UD_Armenian-ArmTDP,2-planar-brackets-greedy,bert-base-multilingual-cased,finetuned,pretrained,79.58,71.66,66.68,9.53,0.0,
UD_Armenian-ArmTDP,2-planar-brackets-greedy,bert-base-multilingual-cased,not_finetuned,pretrained,53.46,38.81,31.32,5.8,0.0,
UD_Armenian-ArmTDP,2-planar-brackets-greedy,bert-base-multilingual-cased,not_finetuned,not_pretrained,27.82,15.06,9.08,2.21,0.0,
UD_Armenian-ArmTDP,rel-pos,bert-base-multilingual-cased,finetuned,pretrained,77.02,71.18,67.76,9.87,0.0,
UD_Armenian-ArmTDP,rel-pos,bert-base-multilingual-cased,not_finetuned,pretrained,59.49,49.4,41.14,6.69,0.0,
UD_Armenian-ArmTDP,rel-pos,bert-base-multilingual-cased,not_finetuned,not_pretrained,34.84,25.94,15.75,3.16,0.0,
UD_Armenian-ArmTDP,arc-hybrid,bert-base-multilingual-cased,finetuned,pretrained,70.33,63.32,60.06,9.55,0.0,
UD_Armenian-ArmTDP,arc-hybrid,bert-base-multilingual-cased,not_finetuned,pretrained,43.01,33.68,27.49,4.83,0.0,
UD_Armenian-ArmTDP,arc-hybrid,bert-base-multilingual-cased,not_finetuned,not_pretrained,21.02,13.45,7.68,1.09,0.0,
UD_Armenian-ArmTDP,2-planar-brackets-greedy,xlm-roberta-base,finetuned,pretrained,81.67,74.49,70.3,10.43,0.0,
UD_Armenian-ArmTDP,2-planar-brackets-greedy,xlm-roberta-base,not_finetuned,pretrained,43.05,30.95,24.04,5.39,0.0,
UD_Armenian-ArmTDP,2-planar-brackets-greedy,xlm-roberta-base,not_finetuned,not_pretrained,23.79,13.34,8.78,2.02,0.0,
UD_Armenian-ArmTDP,rel-pos,xlm-roberta-base,finetuned,pretrained,77.8,73.05,70.72,10.28,0.0,
UD_Armenian-ArmTDP,rel-pos,xlm-roberta-base,not_finetuned,pretrained,53.29,43.84,36.06,6.81,0.0,
UD_Armenian-ArmTDP,rel-pos,xlm-roberta-base,not_finetuned,not_pretrained,34.82,25.05,16.44,3.16,0.0,
UD_Armenian-ArmTDP,arc-hybrid,xlm-roberta-base,finetuned,pretrained,69.59,63.1,61.3,9.82,0.0,
UD_Armenian-ArmTDP,arc-hybrid,xlm-roberta-base,not_finetuned,pretrained,32.29,25.9,22.18,4.47,0.0,
UD_Armenian-ArmTDP,arc-hybrid,xlm-roberta-base,not_finetuned,not_pretrained,19.18,12.41,7.94,1.3,0.0,
UD_Armenian-ArmTDP,2-planar-brackets-greedy,google/canine-c,finetuned,pretrained,33.78,16.65,11.1,1.8,0.0,
UD_Armenian-ArmTDP,2-planar-brackets-greedy,google/canine-c,not_finetuned,pretrained,28.47,13.78,8.2,1.33,0.0,
UD_Armenian-ArmTDP,2-planar-brackets-greedy,google/canine-c,not_finetuned,not_pretrained,27.47,15.14,8.22,1.63,0.0,
UD_Armenian-ArmTDP,rel-pos,google/canine-c,finetuned,pretrained,46.4,26.67,19.93,1.77,0.0,
UD_Armenian-ArmTDP,rel-pos,google/canine-c,not_finetuned,pretrained,35.35,22.78,13.82,2.31,0.0,
UD_Armenian-ArmTDP,rel-pos,google/canine-c,not_finetuned,not_pretrained,36.22,25.78,14.44,2.5,0.0,
UD_Armenian-ArmTDP,arc-hybrid,google/canine-c,finetuned,pretrained,27.66,17.0,12.07,0.59,0.0,
UD_Armenian-ArmTDP,arc-hybrid,google/canine-c,not_finetuned,pretrained,18.16,10.28,6.59,0.66,0.0,
UD_Armenian-ArmTDP,arc-hybrid,google/canine-c,not_finetuned,not_pretrained,20.73,13.47,6.96,0.78,0.0,
UD_Welsh-CCG,2-planar-brackets-greedy,bert-base-multilingual-cased,finetuned,pretrained,77.54,68.89,61.36,7.24,0.0,
UD_Welsh-CCG,2-planar-brackets-greedy,bert-base-multilingual-cased,not_finetuned,pretrained,57.44,44.89,34.47,3.62,0.0,
UD_Welsh-CCG,2-planar-brackets-greedy,bert-base-multilingual-cased,not_finetuned,not_pretrained,36.25,22.35,12.47,1.54,0.0,
UD_Welsh-CCG,rel-pos,bert-base-multilingual-cased,finetuned,pretrained,79.68,72.2,66.24,8.08,0.0,
UD_Welsh-CCG,rel-pos,bert-base-multilingual-cased,not_finetuned,pretrained,66.52,53.23,42.5,4.71,0.0,
UD_Welsh-CCG,rel-pos,bert-base-multilingual-cased,not_finetuned,not_pretrained,55.66,35.39,24.94,2.12,0.0,
UD_Welsh-CCG,arc-hybrid,bert-base-multilingual-cased,finetuned,pretrained,67.74,58.72,50.52,5.97,0.0,
UD_Welsh-CCG,arc-hybrid,bert-base-multilingual-cased,not_finetuned,pretrained,53.45,42.59,30.43,3.49,0.0,
UD_Welsh-CCG,arc-hybrid,bert-base-multilingual-cased,not_finetuned,not_pretrained,37.25,23.02,13.91,1.6,0.0,
UD_Welsh-CCG,2-planar-brackets-greedy,xlm-roberta-base,finetuned,pretrained,76.48,68.96,61.49,7.34,0.0,
UD_Welsh-CCG,2-planar-brackets-greedy,xlm-roberta-base,not_finetuned,pretrained,39.76,27.95,13.97,0.94,0.0,
UD_Welsh-CCG,2-planar-brackets-greedy,xlm-roberta-base,not_finetuned,not_pretrained,37.34,23.55,13.63,1.7,0.0,
UD_Welsh-CCG,rel-pos,xlm-roberta-base,finetuned,pretrained,80.04,73.5,68.3,8.04,0.0,
UD_Welsh-CCG,rel-pos,xlm-roberta-base,not_finetuned,pretrained,60.22,40.83,30.05,1.83,0.0,
UD_Welsh-CCG,rel-pos,xlm-roberta-base,not_finetuned,not_pretrained,54.1,34.48,25.27,2.48,0.0,
